檢驗站站號,檢驗站站名,檢驗站地址,檢驗站市話
BH7,裕展機車行,臺中市西區平和里四維街119號1樓,(04)22220446
BH8,展丞機車行,臺中市南區復興路二段58號1樓,(04)22606127
BH9,仁富機車行,臺中市西屯區臺灣大道四段667號,(04)23582132
BI1,鴻宇機車行,臺中市北屯區松安里興安路二段442之1號,(04)22447517
BI2,上和車行,臺中市潭子區東寶里大豐路二段38號1樓,(04)25345773
BI4,揚益機車行,臺中市后里區眉山里甲后路二段507號1樓,(04)25567999
BI5,金德機車行,臺中市大甲區順天路355-2號,(04)26883167
BI6,志吉機車行,臺中市清水區信義五街96-5號1樓,(04)26584886
BI7,禾新車行,臺中市西區安龍里林森路263號1樓,(04)23728990
BI8,翔勁機車行,臺中市北區大湖里中華路二段103號,(04)22038079
BI9,寶豐機車行,臺中市大雅區中山北路162號1樓、2樓,(04)25652579
BJ1,吉詠機車行,臺中市北區建興里健行路422號1、2樓及424號1、2樓,(04)22350121
BJ2,新幸福機車行,臺中市南屯區文山里忠勇路52-252號1樓,(04)23805298
BJ3,京站機車行,臺中市新社區永源村中和街1段134號,(04)25812363
BJ4,佶聖機車店,臺中市南區美村路二段76號,(04)23787733
BJ5,森旺車業行,臺中市北區漢口路三段227號1樓,(04)22963688
BJ6,裕泰機車行,臺中市北區中清路一段741號,(04)22920178
BJ7,勝祥機車行,臺中市北屯區崇德二路一段173號1樓,(04)22477678
BJ8,焌捷機車行,臺中市南區新榮里學府路133號1樓,(04)2220-3429
BJ9,上輪機車行,臺中市東區台中路13號,(04)22212221
BK1,新通修理行,臺中市太平區中興里太平路668號1號,(04)22780120
BK2,瑞福機車行,臺中市太平區大源路22號,(04)23933672
BK3,大山機車行,臺中市大里區中興路二段702號,(04)24872028
BK4,易陞機車行,臺中市大雅區雅環路二段67號,(04)25602486
BK5,廣達機車行,臺中市潭子區大富路一段25號,(04)25350599
BK6,昇豐車業行,臺中市太平區永豐路39號,(04)22778545
BK7,弘翔機車行,臺中市太平區新平路一段144號,(04)22789088
BK8,大通機車行,臺中市潭子區中山路三段326號1樓,(04)25358769
BK9,佳政機車行,臺中市大里區東昇里日新路230號1樓,(04)24832242
BL1,益民機車行,臺中市大里區益民路二段124號,(04)24810220
BL2,曼尼機車行,臺中市南區工學路13-21號1樓、2樓,(04)22610981
BL3,旭光輪業行,臺中市大里區東里路36號、38號1樓,(04)24076523
BL4,原永昌機車行,臺中市大肚區蔗?里遊園路二段87號1樓、89號1樓,(04)26911683
BL5,洽億機車行,臺中市大甲區錦上街8號,(04)26864199
BL6,新信發車業行,臺中市沙鹿區保安路147號,(04)26366077
BL7,全勝機車行,臺中市龍井區中央路一段209號,(04)26380263
BL8,銓信機車行,臺中市大甲區日南里青年路46號、48號,(04)26820910
BL9,萬興機車行,臺中市西屯區福和里中工三路148號1樓,(04)23587668
BM1,龍旺車業行,臺中市南屯區忠勇路32-7號1、2樓,(04)23892341
BM2,輝達輪業行,臺中市南屯區永定里永春路18-28號1樓,(04)23830541
BM3,嘉祥機車行,臺中市南屯區黎明路一段793號1、2樓,(04)24790882
BM4,昇益機車行,臺中市南屯區大墩路275號,(04)24737503
BM5,瑞益機車行,臺中市西屯區中工二路75號,(04)23588325
BM6,冠文機車行,臺中市大里區益民路二段85號,(04)24861185
BM7,翊展車業行,臺中市東區十甲東路817號,(04)22111080
BM8,大豐機車行,臺中市南屯區惠中里向上路一段636號,(04)23264217
BM9,哈囉車業商行,臺中市北屯區熱河路二段172號1樓,(04)22431469
BN2,樺興機車行,臺中市豐原區西勢路233號、235號,(04)25279683
BN3,久元輪業行,臺中市西區公正路276號1樓,(04)23053555
BN4,宏運機車行,臺中市太平區育仁路69號1樓、2樓,(04)23938222
BN5,永詮機車行,臺中市太平區大源路52號,(04)23938965
BN6,信通機車行,臺中市霧峰區六股里中正路404號,(04)23391589
BN7,大輝機車行,臺中市新社區東新路2段49號,(04)25813331
